,Short description,Description,Caller,Assignment group,Cat_Short_Description,Cat_Description,Final Category,Description_len,Short_Dec_len,Des_wrd_cnt,Short_Des_wrd_cnt
3524,account locked,welcome next available agent shortly interaction alerting agent website visitor joined conversation rbozivdq gmlhrtvp jonnht bnoupaki cpeioxdz hello rbozivdq gmlhrtvp showing locked tell error getting bnoupaki cpeioxdz log sure temporarily unable seems,bnoupaki cpeioxdz,GRP_0,English,English,English,252,14,32,2
3525,erp netweaver error,received hello error starting erp netweaver please help solve cid image png sid cid image png sid unrbafjx reyshakw global portfolio manager advanced material pcd,unrbafjx reyshakw,GRP_0,English,English,English,162,19,25,3
3526,password reset erp sid,reset erp sid password marcel issue logging resetting password using password management tool,yszectoh kqwljchg,GRP_0,English,English,English,93,22,13,4
3527,unable connect home printer,unable connect home printer,ztrpuvdf jlahkmdv,GRP_0,English,English,English,27,27,4,4
3528,erp sid account unlock,erp sid account unlock,fcpnodsr nbrdxscg,GRP_0,English,English,English,22,22,4,4
3530,security incident possible malware infection traffic sinkhole domain tims iphone,source source port source geolocation lisbon prt destination destination hostname tims iphone system name found user name found location usa sep sm status found field sale user yes dsw event log see event data related event event event summary vid server response anubis sinkhole cookie set probable infected asset occurrence count event count host connection information source source port source geolocation lisbon prt destination destination hostname tims iphone destination port destination mac address connection directionality incoming protocol tcp http status code device information device device name isensor company com log time utc action blocked vendor eventid cv score vendor priority vendor version scwx event processing information sherlock rule sle inspector event ontology event type agent event detail vid server response anubis sinkhole cookie set probable infected asset classification none priority action accept impact flag impact blocked vlan mpls label pad sensor event time src dst sport itype dport icode proto tcp ttl tos iplen dgmlen seq bbf ack win tcplen tcp option nop nop pcap security correlation data sep dhcpd dhcpack tims iphone via eth relay lease duration renew ascii packet pcap ascii location pcap ascii hex packet pcap hex aef cde bbf http moved tempo rarily server nginx date thu sep gmt cont ent type text tml connection close set cook anbtr sid cfac doma myslidz com location http xsso api mysli com cfac xsso api slidz com cfac pcap hex event event summary vid server response anubis sinkhole cookie set probable infected asset occurrence count event count host connection information source source hostname addr arpa anubisnetworks com source port source geolocation lisbon prt destination destination hostname tims iphone destination port destination mac address connection directionality incoming protocol tcp http status code device information device device name isensor company com log time utc action blocked vendor eventid cv score vendor priority vendor version scwx event processing information sherlock rule sle inspector event ontology event type agent event detail vid server response anubis sinkhole cookie set probable infected asset classification none priority action accept impact flag impact blocked vlan mpls label pad sensor event time src dst sport itype dport icode proto tcp ttl tos iplen dgmlen seq abba ack dce win tcplen tcp option nop nop pcap security correlation data sep dhcpd dhcpack tims iphone via eth relay lease duration renew ascii packet pcap ascii content encoding gzip pcap ascii hex packet pcap hex abb dce http server nginx date sep gmt con tent type text html connection close set coo kie anbtr cfac dom myslidz com content encodi gzip pcap hex,gzhapcld fdigznbk,GRP_2,English,English,English,2732,80,423,10
3531,ship created distributor tool visible ecc,created new ship sold via distributor tool ship found either ecc distributor tool see actually exists crm situation ship data complete crm system show error reason ship transferred ecc could please look,repyzajo lxfwopyq,GRP_15,English,English,English,202,41,32,6
3532,security incident possible malware infection traffic sinkhole domain ekxl,source system name user name location sep sm status field sale user yes dsw event log event data related event event event summary vid server response anubis sinkhole cookie set probable infected asset occurrence count event count host connection information source source hostname addr arpa anubisnetworks com source port source geolocation lisbon prt destination destination hostname ekxl destination port destination mac address connection directionality incoming protocol tcp http status code device information device device name isensor company com log time utc action blocked vendor eventid cv score vendor priority vendor version scwx event processing information sherlock rule sle inspector event ontology event type agent event detail vid server response anubis sinkhole cookie set probable infected asset classification none priority action accept impact flag impact blocked vlan mpls label pad sensor event time src dst sport itype dport icode proto tcp ttl tos iplen dgmlen seq ack win tcplen pcap security correlation data sep dhcpd dhcpack ekxl via eth relay lease duration renew ascii packet pcap ascii content encoding gzip pcap ascii hex packet pcap hex http ser ver nginx date thu sep gmt content type ext html connec tion close set cookie anbtr ccc ffaf sid domain space mbiance com con tent encoding zip pcap hex,gzhapcld fdigznbk,GRP_2,English,English,English,1333,73,206,9
3533,unable create delivery,please provide following order number material item number warehouse location plant plant issue description error message message,mvwiygou rpkscnlv,GRP_6,English,English,English,129,22,17,3
3534,sale inwarehouse tool rejected banking detail printed,footer banking detail printed inwarehouse tool customer rejected inwarehouse tool footer detail corrected,lmwfdnri joplxizv,GRP_13,English,English,English,105,53,13,7
3535,unable detect dell usb adapter,unable detect dell usb adapter,ztrpuvdf jlahkmdv,GRP_0,English,English,English,30,30,5,5
3536,india high latency,india high latency,rkupnshb gsmzfojw,GRP_4,English,English,English,18,18,3,3
3537,analysis add getting disabled,analysis add getting disabled,tqpbazxm jhbkycgd,GRP_0,English,English,English,29,29,4,4
3538,lcowx,received computer lost connectivity network shrugott tyhuellis usa facility mgr,zwirhcol narzlmfw,GRP_0,English,English,English,79,5,10,1
3539,lcow,received computer partial connectivity network cannot get drive needed shrugott tyhuellis usa facility mgr,zwirhcol narzlmfw,GRP_0,English,English,English,106,4,14,1
3540,clad computer moving new location,computer moving new location new setup need completed production interrupted note shrugott tyhuellis may may entered ticket move,uqrbzknc snvimeqt,GRP_3,English,English,English,128,33,18,5
3541,clad computer cannot access erp shop floor app shared file work,brgtyad ahdwqrson operator area work standstill also affect subsequent operation nearing end month product need move computer work need complete,uqrbzknc snvimeqt,GRP_3,English,English,English,144,63,20,11
3542,gthxezqp ainuhbmk desk moving cable need run new location service need restored new location,next week operator control desk moving make room equipment computer setup computer connected furnace operation monitoring operator area table need physically move cable need activated new location computer area connected shop floor app shared file operator access work file must work new location,uqrbzknc snvimeqt,GRP_3,English,English,English,296,92,43,14
3543,computer office need access drive rolling data,location access database rolling information currently need interrupt data entry extract information project also database stopped calculating density number fix limited experience access help fix problem look like path lan rolling contact,uqrbzknc snvimeqt,GRP_12,English,English,English,239,46,32,7
3545,engineering tool log problem,received hello team please check error getting logging engineering tool changed laptop detail follows computer name service tag model name aiul dvzlq latitude username kadjuwqama earlier using engineering tool laptop username username kadjuwqama laptop name awyl error engineering tool login mentioned error get company engineering tool log please needful description cid image png sid,pwvmkeza mzwqgejy,GRP_0,English,English,English,385,28,54,4
3546,reset password rlhuwmve krcfhoxj erp erp,please reset petrghada sid password soon possible,rlhuwmve krcfhoxj,GRP_0,English,English,English,49,40,7,6
3547,laptop start docked blue power light light briefly go,laptop start docked blue power light light briefly go,zlemowkf hamtklux,GRP_3,English,English,English,53,53,9,9
3548,business client error log,received hello team please check error getting logging business client cid image jpg sid,pwvmkeza mzwqgejy,GRP_0,English,English,English,88,25,14,4
3549,bluetooth headset bekommt keine verbindung mit assign qdxyifhj zbwtunpy germany,bluetooth headset bekommt keine verbindung mit,bwgldaoe aczyfqjr,GRP_33,English,English,English,46,79,6,10
3550,unable open outlook,unable open outlook,jyzkbgpm vxmjcbdw,GRP_0,English,English,English,19,19,3,3
3551,printer problem issue information,please complete required question returned back gsc requester provide required information printer name make model detailed description problem printer added type document printing email excel word etc,ploxzuts utvimnwo,GRP_0,English,English,English,201,33,27,4
3552,need reset password erp sid system,need reset password erp sid system,gzawrocy shbgwxep,GRP_2,English,English,English,34,34,6,6
3553,job job failed job scheduler,received job job failed job scheduler,bpctwhsn kzqsbmtp,GRP_9,English,English,English,37,28,6,5
3554,add new employee distribution list,received hello please add new csr wkgpcxqd vobarhzk following distribution list email bucket company csr poland shatryung company sale team company promotion emea add esguiazn pqdjtzin bucket xhnmygfp bnpehyku company promotion emea best,bmudkpie qolrvbip,GRP_0,English,English,English,237,34,33,5
3555,see attachment,see attachment contact,xcufgmhj yezfxmga,GRP_0,English,English,English,22,14,3,2
